,0
170,[ 0.          0.         -0.00159186  0.00106657 -0.00134069]
171,[ 0.          0.         -0.00211608  0.00061476  0.00070077]
172,[0.         0.         0.00034551 0.00247538 0.00053287]
173,[ 0.          0.         -0.00103027  0.00107151  0.00046767]
174,[ 0.          0.          0.00227857 -0.00204992 -0.00124228]
175,[ 0.          0.         -0.0008966   0.00165075 -0.00109977]
176,[ 0.          0.         -0.00100136 -0.00139171 -0.00129598]
177,[ 0.          0.         -0.00136656 -0.00193894 -0.00026278]
178,[ 0.          0.          0.00136304  0.00146973 -0.00120687]
179,[ 0.         0.         0.0011155 -0.0013451  0.0007979]
180,[ 0.          0.          0.00218308 -0.00105113 -0.00113106]
181,[ 0.          0.          0.00083363 -0.00131595 -0.00051409]
182,[ 0.          0.         -0.00127846 -0.00184494  0.00126469]
183,[0.         0.         0.00237286 0.00233018 0.00115931]
184,[ 0.          0.         -0.00100845  0.00271595  0.00221252]
185,[ 0.          0.          0.00127035 -0.00101978 -0.00092098]
186,[ 0.          0.         -0.00152463 -0.0017094  -0.00049558]
187,[0.         0.         0.00027737 0.00098515 0.00087026]
188,[ 0.          0.          0.00150889 -0.00243688 -0.00074378]
189,[ 0.          0.         -0.0013597  -0.00278199 -0.00208795]
190,[ 0.          0.         -0.00057161 -0.00221133  0.00137866]
191,[ 0.          0.          0.00294161 -0.00077873 -0.00120336]
192,[ 0.          0.          0.001477   -0.00094846 -0.00102329]
193,[ 0.          0.          0.00136793 -0.00139958  0.00175101]
194,[0.         0.         0.00050712 0.00151014 0.00587225]
195,[ 0.          0.         -0.00209212  0.0016396  -0.00204015]
196,[0.         0.         0.00127554 0.00174803 0.00173372]
197,[ 0.          0.         -0.00021967 -0.00138295 -0.0001736 ]
198,[ 0.          0.         -0.00059697  0.00197375 -0.00103539]
199,[0.         0.         0.00055835 0.00114238 0.00058582]
200,[0.         0.         0.00124252 0.003847   0.00058889]
201,[ 0.          0.         -0.00126159  0.00138021 -0.00030105]
202,[ 0.          0.         -0.0019697  -0.00208473  0.00196695]
203,[0.         0.         0.00123304 0.00098163 0.00098675]
204,[ 0.          0.          0.00080317 -0.00127923  0.00040303]
205,[ 0.          0.         -0.00257039 -0.00199592  0.00105119]
206,[ 0.          0.         -0.00111812 -0.00061992  0.00044882]
207,[ 0.          0.         -0.00036083 -0.00241196 -0.00179839]
208,[ 0.          0.          0.00180519  0.00134999 -0.00041288]
209,[0.         0.         0.00246191 0.00053546 0.00081715]
210,[ 0.          0.         -0.00187051 -0.00213528  0.00074652]
211,[ 0.          0.          0.00069231 -0.00058776 -0.00011868]
212,[ 0.          0.         -0.00172609  0.00143379  0.00153327]
213,[ 0.          0.         -0.00181681 -0.00041237  0.00024872]
214,[ 0.          0.          0.00192928  0.00243461 -0.00074518]
215,[ 0.          0.         -0.00627351  0.00282121  0.00026052]
216,[ 0.          0.         -0.00154853 -0.00161958  0.00033648]
217,[ 0.          0.          0.00239503  0.00141579 -0.00038342]
218,[0.         0.         0.00101274 0.00240123 0.00016866]
219,[ 0.          0.         -0.00190228  0.00416017 -0.00041831]
220,"[ 0.0000000e+00  0.0000000e+00 -6.6345930e-04  2.6015043e-03
  9.2089176e-05]"
221,[ 0.          0.         -0.00064737 -0.00163537  0.00050622]
222,[ 0.          0.         -0.000505   -0.01240492  0.00026171]
223,[ 0.          0.          0.00127071 -0.00158435 -0.00156611]
224,[ 0.          0.         -0.00199974 -0.00176555 -0.0030551 ]
225,[ 0.          0.          0.0014829  -0.00125635 -0.00089154]
226,[0.         0.         0.00095445 0.00085175 0.0002829 ]
227,[ 0.          0.          0.00118512 -0.00140184 -0.00107163]
228,[ 0.          0.          0.00027098 -0.00122017  0.00023224]
229,[ 0.          0.         -0.00184506 -0.00083187 -0.00085539]
230,[ 0.          0.         -0.00286806  0.00097746  0.00207889]
231,[ 0.          0.         -0.00172007 -0.0012759  -0.00350821]
232,[ 0.          0.          0.0028969  -0.00174016 -0.00022821]
233,[ 0.          0.          0.00021304  0.00103742 -0.0014497 ]
234,[ 0.          0.          0.00120163 -0.00215316  0.00171065]
235,[ 0.          0.          0.00039096 -0.00086218 -0.00274003]
236,[ 0.          0.          0.0014773  -0.00147563  0.00065756]
237,[ 0.          0.         -0.00074342  0.00162572 -0.0004413 ]
238,[ 0.          0.         -0.00051165 -0.00834036  0.00033036]
239,[ 0.          0.          0.00163615  0.00237155 -0.00134355]
240,[0.         0.         0.00180757 0.0024755  0.00160098]
241,[ 0.          0.          0.00042622 -0.00854826 -0.00048834]
242,[ 0.          0.         -0.00117677  0.00097859  0.00062704]
243,[ 0.          0.          0.00109291  0.00194782 -0.00021615]
244,[ 0.          0.          0.00063586 -0.00124085  0.00027017]
245,[ 0.          0.          0.00177884 -0.00156796  0.00047331]
246,[ 0.          0.         -0.00241172  0.00083959 -0.00015913]
247,[ 0.          0.          0.00096104  0.00261033 -0.00013161]
248,[ 0.          0.          0.00268006 -0.00269198 -0.00290287]
249,[ 0.          0.         -0.00241649  0.00217056  0.00024325]
250,[0.         0.         0.00027063 0.00018789 0.00083447]
251,[ 0.          0.          0.00147599 -0.0088644  -0.00179774]
252,[ 0.          0.          0.00271797 -0.00202179 -0.00251961]
253,"[ 0.0000000e+00  0.0000000e+00 -2.3132563e-03 -6.9923699e-05
  1.3824105e-03]"
254,[ 0.          0.         -0.0016554  -0.00135624  0.00010433]
255,[ 0.          0.         -0.00304687 -0.00052801  0.00063911]
256,[ 0.          0.          0.00049973 -0.00120234  0.00154221]
257,[ 0.          0.         -0.00174963  0.00155258 -0.0005573 ]
258,[ 0.          0.         -0.00209785  0.00184202  0.00015741]
259,[ 0.          0.         -0.00213563  0.0017091  -0.00166619]
260,[ 0.          0.         -0.00116444  0.00178492 -0.00265849]
261,[ 0.          0.         -0.00127345 -0.00167739 -0.00033082]
262,[ 0.          0.         -0.00129527  0.00141335 -0.00135857]
263,[ 0.          0.          0.00115544 -0.00322473  0.00110155]
264,[ 0.          0.          0.0007458   0.00133497 -0.00097597]
265,[0.         0.         0.00091794 0.00157833 0.00170797]
266,[ 0.          0.         -0.00111866  0.0034337   0.00132984]
267,[0.         0.         0.00206816 0.00043474 0.00073308]
268,[ 0.          0.          0.00166214  0.00091437 -0.00173247]
269,[ 0.          0.          0.00034939  0.00065526 -0.00070909]
270,[ 0.          0.          0.0022223   0.00155789 -0.00032634]
271,[ 0.          0.         -0.00193399  0.00126988 -0.00018576]
272,[ 0.          0.         -0.00051403 -0.00189906  0.00139844]
273,[ 0.          0.         -0.00085327 -0.00255454  0.00049183]
274,[ 0.          0.         -0.00249386 -0.00172246  0.00012761]
275,[ 0.          0.         -0.00261486  0.00114048  0.00166643]
276,[ 0.          0.         -0.00078848 -0.0016253   0.00072527]
277,[ 0.          0.          0.00216556  0.00187618 -0.00122368]
278,[ 0.          0.          0.00045259  0.00292718 -0.00073034]
279,[0.0000000e+00 0.0000000e+00 1.9906759e-03 1.5345216e-03 2.6360154e-05]
280,[ 0.          0.          0.00192505 -0.00058839 -0.00078946]
281,[ 0.          0.          0.00094631 -0.00138599  0.00021584]
282,[ 0.          0.         -0.00180447 -0.0003581   0.00179517]
283,[ 0.          0.          0.00090751  0.00381351 -0.00023124]
284,[ 0.          0.         -0.00118047 -0.00083575  0.00104153]
285,[0.         0.         0.00060925 0.00110662 0.00025088]
286,[ 0.          0.          0.00128305 -0.0017972  -0.00180715]
287,[ 0.          0.         -0.00040378  0.00138462  0.00016172]
288,[ 0.          0.          0.00110567 -0.01181841 -0.0017342 ]
289,[ 0.          0.          0.00123167 -0.00242019  0.00041012]
290,[ 0.          0.          0.00119424 -0.00132692  0.00053486]
291,[ 0.          0.          0.00137645 -0.00096405 -0.00050688]
292,[ 0.          0.         -0.00121826  0.000635   -0.00023416]
293,[ 0.          0.          0.00088531  0.00267303 -0.00089404]
294,[ 0.          0.         -0.00230634  0.00204504 -0.0006305 ]
295,[ 0.          0.         -0.00052428 -0.00206029  0.00097972]
296,[ 0.          0.          0.00339532 -0.00102776 -0.00072041]
297,[ 0.          0.         -0.00126946 -0.00208783 -0.00028968]
298,[ 0.          0.          0.0002424   0.00178725 -0.00174516]
299,[ 0.          0.         -0.00119543 -0.00116134  0.00035113]
300,[ 0.          0.          0.00228512  0.00127739 -0.00132656]
301,"[ 0.0000000e+00  0.0000000e+00  1.3208389e-03 -1.7601252e-03
 -3.2467768e-05]"
302,[0.         0.         0.00152498 0.00234675 0.0015586 ]
303,[ 0.          0.         -0.0016228   0.00012265 -0.00148731]
304,[ 0.          0.          0.00205326 -0.0010705  -0.00106847]
305,[ 0.          0.         -0.00036485  0.00099629  0.00206828]
306,[ 0.          0.         -0.00089911 -0.00297081 -0.00081518]
307,[ 0.          0.          0.00197589 -0.0016768  -0.00187248]
308,[ 0.          0.         -0.00125587  0.00229239 -0.00169522]
309,[ 0.          0.          0.00114793 -0.00081167  0.00047149]
310,[ 0.          0.         -0.00110829 -0.00113362  0.00031394]
311,[ 0.          0.          0.00099903 -0.00184906 -0.00330484]
312,[ 0.          0.         -0.00085819  0.00204098 -0.00040396]
313,[ 0.          0.          0.00098568  0.00180691 -0.00070232]
314,[ 0.          0.         -0.00195324 -0.00062522  0.00189698]
315,[ 0.          0.         -0.00114149 -0.00232899  0.00049144]
316,[ 0.          0.         -0.00098234  0.00115871  0.00023157]
317,[ 0.          0.         -0.00104755  0.00141573  0.00146055]
318,[ 0.          0.          0.00119716 -0.00276566  0.00075042]
319,[ 0.          0.         -0.00159466 -0.00150377 -0.00031912]
320,[ 0.          0.          0.01202297 -0.00114733 -0.00027214]
321,[ 0.          0.          0.00208998  0.0006716  -0.00301802]
322,[ 0.          0.         -0.00170839  0.00098991 -0.00010135]
323,[ 0.          0.          0.00131959 -0.00115478  0.00139493]
324,[ 0.          0.         -0.0012446  -0.00177121 -0.00141037]
325,[ 0.          0.         -0.00225198  0.0013206   0.00033978]
326,[ 0.          0.          0.00090188  0.00049469 -0.00106764]
327,[ 0.          0.          0.00078368 -0.00083935 -0.00026658]
328,[ 0.          0.          0.00270164 -0.00969505 -0.00160736]
329,[ 0.          0.         -0.00125921 -0.0007658  -0.00084871]
330,[ 0.          0.          0.00167769 -0.00158173  0.0007236 ]
331,[0.         0.         0.00133431 0.00121093 0.00078002]
332,[ 0.          0.          0.00026163 -0.00831604  0.00023646]
333,[ 0.          0.         -0.0010404   0.0018723   0.00132412]
334,[ 0.          0.          0.00549793 -0.00205898  0.00065997]
335,[ 0.          0.         -0.00027637  0.00159532 -0.00092119]
336,[ 0.          0.         -0.00232244 -0.00119287  0.00133342]
337,[ 0.          0.          0.00143725 -0.00035916 -0.00100762]
338,[0.         0.         0.00097623 0.01062536 0.000934  ]
339,[ 0.000000e+00  0.000000e+00  7.811785e-04 -9.094775e-04  6.675720e-05]
340,[ 0.          0.         -0.00073314 -0.00141102  0.00019962]
341,[ 0.          0.         -0.0012427  -0.00022607  0.00121534]
342,[ 0.          0.          0.00098765 -0.00127548 -0.00015683]
343,[ 0.          0.         -0.00931358  0.00100315 -0.00146288]
344,[ 0.          0.         -0.00151372 -0.00278437  0.0001474 ]
345,[0.         0.         0.00194627 0.00043993 0.00016075]
346,[ 0.          0.          0.00274599 -0.00089815 -0.00074005]
347,[ 0.          0.         -0.00180036  0.0011701  -0.00044468]
348,[ 0.          0.         -0.00142455  0.00053334  0.00184059]
349,[ 0.          0.         -0.00241518  0.00053886  0.00216329]
350,[ 0.          0.         -0.00131935 -0.00020019  0.00207257]
351,[ 0.          0.          0.0009422   0.00268173 -0.0017817 ]
352,[ 0.          0.         -0.00178605  0.00069514 -0.00234163]
353,[ 0.          0.          0.00177658 -0.00136048  0.00133079]
354,[0.         0.         0.00049603 0.00159663 0.00158054]
355,[ 0.          0.         -0.00088498  0.00085738 -0.00041799]
356,[ 0.          0.         -0.0018124   0.00191277 -0.00154889]
357,[ 0.          0.          0.00062707 -0.00146735 -0.00211394]
358,"[ 0.0000000e+00  0.0000000e+00 -1.3651252e-03  1.7291903e-03
  5.2165240e-05]"
359,[ 0.          0.         -0.00797129 -0.00208807 -0.00035487]
360,[ 0.          0.          0.0013907  -0.00133705  0.0007934 ]
361,[ 0.          0.          0.00150132 -0.00197375  0.0001085 ]
362,[ 0.          0.         -0.00077677 -0.00045261 -0.00026134]
363,[ 0.          0.         -0.00183165  0.00142324 -0.00085515]
364,"[ 0.0000000e+00  0.0000000e+00  1.4786720e-03  1.0208488e-03
 -7.5381249e-05]"
365,[ 0.          0.         -0.00073233 -0.00097606 -0.00035201]
366,[ 0.          0.          0.01093674 -0.00042088 -0.00073448]
367,[ 0.          0.         -0.00154221  0.00236928 -0.00075415]
368,[ 0.          0.         -0.00295794 -0.00155282 -0.00248623]
369,[ 0.          0.          0.00086543 -0.00244069  0.00184065]
370,[ 0.          0.          0.00092134 -0.00221753  0.001912  ]
371,[ 0.          0.         -0.00189453 -0.00145179 -0.00144422]
372,[ 0.          0.          0.00202608 -0.00042389 -0.00125831]
373,[ 0.          0.         -0.00144082  0.00142801  0.00108802]
374,[ 0.          0.         -0.00178987 -0.01252651  0.00079963]
375,[ 0.          0.          0.00208795  0.00087011 -0.00136441]
376,[ 0.          0.          0.00194794  0.00137228 -0.00136977]
377,[ 0.          0.         -0.0016408  -0.00234282  0.00100374]
378,[ 0.          0.         -0.00255144 -0.00119841  0.00094572]
379,[ 0.          0.         -0.01229763 -0.00073093 -0.000332  ]
380,[ 0.          0.         -0.00193965 -0.00092822 -0.00148839]
381,[ 0.          0.         -0.00136077 -0.00140291 -0.00240242]
382,[0.         0.         0.0010283  0.00143725 0.00195044]
383,[ 0.          0.          0.00270224 -0.00054857  0.00099045]
384,[ 0.          0.         -0.0013411  -0.00200713 -0.00061253]
385,[ 0.          0.         -0.00059918  0.00093824  0.00013204]
386,[ 0.          0.         -0.00160372 -0.0007309  -0.00020672]
387,[ 0.          0.          0.00176281 -0.00105554 -0.00121766]
388,[ 0.          0.          0.00168258  0.00212801 -0.0010519 ]
389,[ 0.          0.         -0.001158   -0.00155741  0.00097325]
390,[ 0.          0.         -0.00104284 -0.00142407  0.00176483]
391,[0.         0.         0.0013203  0.0016737  0.00139046]
392,[ 0.          0.          0.00078854 -0.00171375 -0.00094575]
393,[ 0.          0.         -0.00169289  0.0015825  -0.00135183]
394,[ 0.          0.         -0.00189048  0.00202191 -0.0009158 ]
395,[ 0.          0.         -0.001284   -0.00237465  0.00096563]
396,[ 0.          0.          0.0025959  -0.00129557 -0.00163943]
397,[ 0.          0.          0.003371   -0.00172299  0.00032517]
398,[ 0.          0.          0.0013985   0.00392079 -0.00949955]
399,[ 0.          0.         -0.00224531  0.00121826 -0.000139  ]
400,[ 0.          0.         -0.00056261  0.00235868 -0.00096449]
401,[ 0.          0.          0.0015192  -0.00060236  0.00281763]
402,[ 0.          0.         -0.00138813 -0.00190926  0.00141311]
403,[ 0.          0.         -0.00321901 -0.00079119 -0.0023818 ]
404,[ 0.          0.         -0.00103945 -0.00155443  0.00038284]
405,[ 0.          0.         -0.00220168 -0.00053039 -0.00079304]
406,[ 0.          0.         -0.00078613  0.00187308  0.00066975]
407,[0.         0.         0.00061232 0.00052428 0.00212276]
408,[ 0.          0.         -0.00141817  0.00173271 -0.00025515]
409,[ 0.          0.         -0.0012368  -0.00112742  0.00084272]
410,[ 0.          0.         -0.00207698  0.00079933 -0.0008446 ]
411,[ 0.          0.         -0.00317419  0.00131911 -0.00138062]
412,[ 0.          0.         -0.00221419 -0.0009563  -0.00142723]
413,[ 0.          0.         -0.00208628  0.00030144 -0.00082177]
414,[ 0.          0.          0.00195253  0.00132793 -0.00349391]
415,[ 0.          0.          0.00094146 -0.00071132  0.0016821 ]
416,[ 0.          0.          0.00161541 -0.00074103 -0.000893  ]
417,[ 0.          0.          0.00160211 -0.00125527 -0.00062785]
418,[ 0.          0.          0.00164807 -0.00214493  0.00097445]
419,[0.         0.         0.00037925 0.00193149 0.00051689]
420,[ 0.          0.          0.00138009 -0.00249553 -0.0021807 ]
421,[ 0.          0.         -0.0008522  -0.00177622 -0.00087088]
422,[ 0.          0.         -0.00182843 -0.00023856 -0.00089163]
423,[ 0.          0.          0.00036602 -0.00062603  0.0012002 ]
424,[ 0.          0.         -0.00190139 -0.0013876   0.00080922]
425,[ 0.          0.          0.00120986 -0.00044309 -0.00138932]
426,[ 0.          0.          0.00115693 -0.00196111  0.00049189]
427,[ 0.          0.         -0.00158054  0.00212514  0.00092682]
428,[ 0.          0.         -0.00049591 -0.00238037 -0.00076199]
429,[ 0.          0.         -0.00175178 -0.00256407  0.00133169]
430,[ 0.          0.          0.00154048 -0.00217104  0.00062531]
431,[ 0.          0.          0.00180048  0.00094587 -0.00107163]
432,[ 0.          0.          0.0004264   0.00066751 -0.00064632]
433,[ 0.          0.         -0.00127906 -0.00239348 -0.00309396]
434,[ 0.          0.          0.00045411 -0.00108176 -0.00201356]
